OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,28.85,DAM,2
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,47.94,DAM,4
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
2024-11-30,24,0,2024-12-01T07:00:00-00:00,2024-12-01T08:00:00-00:00,ZP26,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,0.06,DAM,6
2024-12-01,19,0,2024-12-02T02:00:00-00:00,2024-12-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,10,0,2024-12-01T17:00:00-00:00,2024-12-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1070.52,DAM,7
2024-12-01,18,0,2024-12-02T01:00:00-00:00,2024-12-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,22,0,2024-12-02T05:00:00-00:00,2024-12-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,17,0,2024-12-02T00:00:00-00:00,2024-12-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,147.75,DAM,7
2024-12-01,5,0,2024-12-01T12:00:00-00:00,2024-12-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,16,0,2024-12-01T23:00:00-00:00,2024-12-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,683.88,DAM,7
2024-12-01,11,0,2024-12-01T18:00:00-00:00,2024-12-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1203.18,DAM,7
2024-12-01,15,0,2024-12-01T22:00:00-00:00,2024-12-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1157.81,DAM,7
2024-12-01,4,0,2024-12-01T11:00:00-00:00,2024-12-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,14,0,2024-12-01T21:00:00-00:00,2024-12-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1275.83,DAM,7
2024-12-01,21,0,2024-12-02T04:00:00-00:00,2024-12-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,13,0,2024-12-01T20:00:00-00:00,2024-12-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1279.77,DAM,7
2024-12-01,3,0,2024-12-01T10:00:00-00:00,2024-12-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,12,0,2024-12-01T19:00:00-00:00,2024-12-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1253.76,DAM,7
2024-12-01,9,0,2024-12-01T16:00:00-00:00,2024-12-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,700.98,DAM,7
2024-12-01,24,0,2024-12-02T07:00:00-00:00,2024-12-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,2,0,2024-12-01T09:00:00-00:00,2024-12-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,23,0,2024-12-02T06:00:00-00:00,2024-12-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,20,0,2024-12-02T03:00:00-00:00,2024-12-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
2024-12-01,8,0,2024-12-01T15:00:00-00:00,2024-12-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,198.78,DAM,7
2024-12-01,1,0,2024-12-01T08:00:00-00:00,2024-12-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,7
