Year,Month,Day,Hour,LMP
2022,7,1,1,66.76289333333334
2022,7,1,2,62.64863666666667
2022,7,1,3,61.34733333333333
2022,7,1,4,59.36374333333333
2022,7,1,5,59.85607666666667
2022,7,1,6,62.94254333333333
2022,7,1,7,63.28364666666667
2022,7,1,8,53.54136666666667
2022,7,1,9,45.076953333333336
2022,7,1,10,41.581826666666664
2022,7,1,11,44.12477666666666
2022,7,1,12,47.67843
2022,7,1,13,49.727149999999995
2022,7,1,14,51.17604333333333
2022,7,1,15,53.52719
2022,7,1,16,54.65235666666666
2022,7,1,17,57.45505666666666
2022,7,1,18,63.23159333333333
2022,7,1,19,77.35443666666667
2022,7,1,20,90.87238333333335
2022,7,1,21,88.50918999999999
2022,7,1,22,84.36189333333333
2022,7,1,23,69.60467666666666
2022,7,1,24,61.165506666666666
2022,7,2,1,62.63573
2022,7,2,2,59.451613333333334
2022,7,2,3,57.38955000000001
2022,7,2,4,54.853436666666674
2022,7,2,5,54.48636
2022,7,2,6,56.262033333333335
2022,7,2,7,56.531800000000004
2022,7,2,8,39.33175333333333
2022,7,2,9,26.255959999999998
2022,7,2,10,24.664786666666668
2022,7,2,11,23.215996666666666
2022,7,2,12,24.38864666666667
2022,7,2,13,27.094586666666668
2022,7,2,14,30.546876666666666
2022,7,2,15,33.51593333333333
2022,7,2,16,40.84858333333333
2022,7,2,17,40.99895
2022,7,2,18,50.744400000000006
2022,7,2,19,62.83973666666666
2022,7,2,20,85.78227
2022,7,2,21,88.06918333333334
2022,7,2,22,79.10711666666667
2022,7,2,23,61.59574666666666
2022,7,2,24,55.790393333333334
2022,7,3,1,52.19012333333333
2022,7,3,2,52.623263333333334
2022,7,3,3,50.856226666666664
2022,7,3,4,50.85283666666667
2022,7,3,5,50.84195
2022,7,3,6,50.48086
2022,7,3,7,45.335123333333335
2022,7,3,8,14.376019999999999
2022,7,3,9,6.07601
2022,7,3,10,4.803346666666667
2022,7,3,11,5.514030000000001
2022,7,3,12,5.807536666666667
2022,7,3,13,5.282093333333333
2022,7,3,14,6.91761
2022,7,3,15,9.113646666666666
2022,7,3,16,13.200966666666666
2022,7,3,17,17.953793333333333
2022,7,3,18,35.32441333333333
2022,7,3,19,54.94654333333333
2022,7,3,20,78.94594333333333
2022,7,3,21,86.59973333333333
2022,7,3,22,79.24459
2022,7,3,23,63.21830666666667
2022,7,3,24,60.95746
2022,7,4,1,47.77084333333334
2022,7,4,2,48.64185333333334
2022,7,4,3,47.61904666666667
2022,7,4,4,46.79989333333333
2022,7,4,5,47.095663333333334
2022,7,4,6,48.2953
2022,7,4,7,45.57490333333334
2022,7,4,8,13.753263333333331
2022,7,4,9,5.8440166666666675
2022,7,4,10,4.992563333333333
2022,7,4,11,6.108826666666666
2022,7,4,12,6.610733333333333
2022,7,4,13,5.993189999999999
2022,7,4,14,9.167236666666666
2022,7,4,15,10.599656666666666
2022,7,4,16,18.168656666666667
2022,7,4,17,24.48608333333333
2022,7,4,18,41.89202
2022,7,4,19,60.09003666666666
2022,7,4,20,75.35858
2022,7,4,21,82.55426666666666
2022,7,4,22,74.59332666666667
2022,7,4,23,60.31793
2022,7,4,24,57.779846666666664
2022,7,5,1,52.15665333333334
2022,7,5,2,50.10478666666666
2022,7,5,3,48.69968333333333
2022,7,5,4,48.801523333333336
2022,7,5,5,49.17402666666667
2022,7,5,6,54.17542
2022,7,5,7,61.79340333333334
2022,7,5,8,52.789386666666665
2022,7,5,9,41.886383333333335
2022,7,5,10,39.307629999999996
2022,7,5,11,39.47153333333333
2022,7,5,12,42.233646666666665
2022,7,5,13,42.965849999999996
2022,7,5,14,44.85053666666667
2022,7,5,15,45.82948666666667
2022,7,5,16,51.81092
2022,7,5,17,51.891153333333335
2022,7,5,18,55.13673333333333
2022,7,5,19,67.776
2022,7,5,20,89.80255
2022,7,5,21,87.61517333333335
